State/UT,Households,No_Latrine_Premise,Percent_No_latrine
Andaman and Nicobar Islands,141675.0,42385.0,29.91706370213517
Andhra Pradesh,14212527.0,7368331.0,51.84391910038236
Arunachal Pradesh,351765.0,129208.0,36.73134052563501
Assam,9074503.0,3209950.0,35.37328711004889
Bihar,23414674.0,18031137.0,77.00784986372221
Chandigarh,298367.0,36998.0,12.400164897592562
Chhattisgarh,5982534.0,4482718.0,74.93008815328086
Dadra and Nagar Haveli,108783.0,49279.0,45.30027669764577
Daman and Diu,89929.0,20277.0,22.547787699184912
Delhi,4605555.0,488061.0,10.597224438748425
Goa,576582.0,117028.0,20.296852832728042
Gujarat,17524030.0,7347003.0,41.925304852822094
Haryana,7088008.0,2228809.0,31.44478674403302
Himachal Pradesh,2933663.0,898815.0,30.637977163702853
Jammu and Kashmir,3501094.0,1748636.0,49.9454170610672
Jharkhand,7796033.0,6044677.0,77.53529262895628
Karnataka,17999066.0,8651042.0,48.063838423615984
Kerala,11217853.0,535827.0,4.776555727731501
Laddakh,102538.0,6715.0,6.548791667479374
Lakshadweep,21242.0,468.0,2.2031823745410035
Madhya Pradesh,18498763.0,13102938.0,70.83142802575502
Maharashtra,33569762.0,15398917.0,45.871391641084614
Manipur,609964.0,69983.0,11.473300063610312
Meghalaya,721467.0,267559.0,37.0854106979252
Mizoram,269431.0,21425.0,7.951943169123078
Nagaland,534424.0,123194.0,23.051734203553732
Odisha,12759133.0,9925374.0,77.7903482940416
Puducherry,387999.0,122071.0,31.46167902494594
Punjab,7847447.0,1629745.0,20.767836979338632
Rajasthan,17461829.0,11134680.0,63.76582888310268
Sikkim,169022.0,21692.0,12.833832282188117
Tamil Nadu,23166721.0,12035450.0,51.95146089081834
Telangana,10078599.0,4769413.0,47.322182378721486
Tripura,1066863.0,148851.0,13.952213170763256
Uttar Pradesh,45172443.0,28987278.0,64.17026858609351
Uttarakhand,3383410.0,1201285.0,35.50515604079907
West Bengal,25343715.0,10357781.0,40.86922931385553
